x,y,z,x_sym,y_sym,z_sym
672200,275853,100000,669399,265054,128402
672200,275853,120000,666510,267355,147783
672200,275853,160000,666655,266572,188685
672200,275853,180000,664609,265535,207714
672200,275853,200000,661390,264708,224798
672200,295853,80000,671560,279447,110620
672200,295853,140000,669460,284224,169872
672200,295853,160000,667320,283355,188316
672200,295853,180000,664148,283789,206643
672200,295853,200000,660878,283922,225870
672200,315853,140000,671377,300523,171577
672200,315853,160000,669213,300216,189991
672200,315853,180000,666007,301120,208262
672200,315853,200000,662102,302154,227159
672200,335853,160000,671100,318311,191659
672200,335853,180000,668160,319133,209262
672200,335853,200000,664314,321858,228534
692200,115853,100000,678279,102552,126529
692200,115853,120000,676806,104053,146547
692200,135853,80000,680018,121726,111259
692200,135853,100000,679921,122671,129660
692200,135853,120000,678756,124431,150340
692200,135853,140000,677825,125331,167029
692200,135853,160000,675704,123899,184783
692200,155853,80000,680257,140835,114455
692200,155853,100000,680685,143339,132255
692200,155853,120000,680157,144302,151206
692200,155853,140000,679623,145311,166192
692200,155853,160000,678662,143878,185682
692200,175853,120000,682623,164346,151365
692200,175853,140000,682382,165384,168979
692200,175853,160000,680038,164551,186641
692200,175853,180000,678047,165588,206381
692200,195853,80000,688013,177457,116432
692200,195853,100000,688512,181497,135208
692200,195853,120000,685841,184858,153057
692200,195853,140000,683867,185176,170327
692200,195853,160000,684349,186710,188567
692200,195853,180000,684050,187559,207371
692200,195853,200000,681840,188354,224833
692200,215853,60000,691802,200672,99095
692200,215853,80000,691594,199554,118652
692200,215853,100000,691814,202528,136122
692200,215853,120000,687450,205832,152048
692200,215853,140000,686351,204938,171579
692200,215853,160000,686817,206017,190056
692200,215853,180000,684978,205800,208780
692200,215853,200000,683508,206216,226597
692200,215853,220000,681298,206221,242386
692200,235853,60000,692930,220109,98270
692200,235853,80000,693639,222155,118991
692200,235853,100000,691611,225757,136532
692200,235853,120000,689637,226079,152165
692200,235853,140000,687350,225991,170276
692200,235853,160000,687423,225204,191786
692200,235853,180000,683843,224386,209624
692200,235853,200000,683860,224685,230598
692200,235853,220000,680754,224251,249745
692200,255853,60000,695755,239155,94668
692200,255853,80000,693066,241871,115500
